"name","species","sex","neutered","birthdate"
"Coy","Red-tailed black cockatoo","F",0,"2018-1-12"
"Kasey","Crimson, Eastern, Western, Green, Pale-headed and Northern rosel","U",0,"2018-6-24"
"Emilie","Domestic guinea pig","U",0,"2018-6-28"
"Dawson","Diamond dove","M",0,"2018-4-11"
"Luisa","Greater rhea","M",0,"2017-11-7"
"Ethyl","Norway lemming","U",0,"2018-4-14"
"Willard","Scaly-breasted munia","F",0,"2017-9-18"
"Bettie","Glossy ibis","M",0,"2018-7-25"
"Maverick","Donkey","F",0,"2017-10-23"
"Brando","Golden hamster","M",1,"2018-4-4"
"Issac","Fishing","M",0,"2018-1-14"
"Abigale","Guanaco","M",0,"2018-4-10"
"Vilma","Fancy mouse and laboratory mouse","U",1,"2018-4-3"
"Broderick","Species and subspecies","U",1,"2018-4-19"
"Telly","Domestic goose","M",1,"2018-5-11"
"Maiya","Mute swan","F",1,"2018-6-1"
"Antonio","Barramundi","M",1,"2017-11-14"
"Eleonore","Crucian carp","F",0,"2018-3-22"
"Alford","Species and subspecies","M",0,"2018-4-6"
"Patricia","Beech marten","M",0,"2018-3-4"
"Rosina","African bush elephant","M",1,"2018-7-23"
"Marcelle","Eclectus parrot","M",0,"2018-5-25"
"Hilda","Vulturine guineafowl","F",0,"2018-6-1"
"Lynn","Diamond dove","F",0,"2018-3-3"
"Elizabeth","Domestic turkey","U",0,"2018-3-27"
"Keaton","Japanese and great cormorants","M",1,"2017-9-3"
"Chandler","Northern red snapper","F",0,"2018-7-11"
"Jalyn","Domestic guineafowl","M",0,"2018-7-28"
"Virginia","Yellow-bellied glider","F",1,"2018-1-12"
"Stephanie","Mandarin duck","U",1,"2018-5-17"
"Elinore","Waxworm","M",0,"2018-5-18"
"Maribel","Pig frog","M",1,"2017-8-11"
"Deonte","Guppy","M",0,"2018-3-31"
"Muriel","Wattle-necked softshell turtle","M",0,"2017-8-13"
"Antonetta","Meerkat","U",1,"2018-5-24"
"Marc","Domestic muscovy duck","M",1,"2018-2-17"
"Dock","Ferret","F",0,"2017-9-21"
"Francisca","Water buffalo, including ""river buffalo""","F",0,"2018-5-1"
"Katelin","Rosy-faced, yellow-collared, and Fischer's lovebirds","U",0,"2017-8-28"
"Jerad","Red-tailed black cockatoo","F",1,"2018-5-31"
"Astrid","Domestic rabbit","U",1,"2018-2-15"
"Kyleigh","Rainbowfish","F",1,"2017-10-17"
"Ernesto","European goldfinch","F",1,"2018-1-23"
"Gerardo","Java sparrow","M",1,"2018-7-3"
"Retha","Crested gecko","M",0,"2017-12-6"
"Kelly","Montezuma quail","M",0,"2018-3-21"
"Joyce","Green chromide","U",1,"2017-12-3"
"Arlene","Southern white rhinoceros","F",0,"2018-5-11"
"Terry","Whooper swan","F",0,"2018-2-17"
"Jewel","Indian peafowl","U",0,"2017-11-13"
"Holden","Ball python","M",1,"2017-9-10"
"Lucius","Vulturine guineafowl","U",1,"2017-10-10"
"Braeden","Horned screamer","M",1,"2017-12-22"
"Marley","Southern","F",1,"2018-7-22"
"Annamae","Nilgai","U",0,"2018-3-6"
"Myra","Southern white rhinoceros","F",0,"2017-11-16"
"Sydni","Capybara","M",1,"2017-11-1"
"Millie","Southern","M",0,"2017-8-27"
"Kaylee","Golden eagle","U",1,"2018-4-1"
"Lavina","Muskox","M",0,"2018-6-15"
"Miracle","Bat-eared fox","M",0,"2017-12-3"
"Rex","Common octopus","F",1,"2017-10-18"
"Floyd","Leopard gecko","F",0,"2017-8-24"
"Brandt","Giant eland ","M",0,"2017-9-3"
"Madelynn","Sugarbag bee","M",1,"2017-12-7"
"Tyrel","Water buffalo, including ""river buffalo""","F",1,"2018-6-10"
"Marlin","Serval","U",1,"2018-1-13"
"Jerod","Sugar glider","F",1,"2018-4-11"
"Linnea","American cockroach","M",1,"2017-12-31"
"Marlene","Domestic Bactrian camel","M",0,"2017-10-9"
"Eda","Beech marten","F",0,"2017-11-21"
"Vern","Caracal","M",0,"2018-6-28"
"Layne","Ruddy mongoose","F",0,"2018-5-30"
"Amparo","Dromedary camel","M",1,"2018-6-27"
"Sibyl","Southern bluefin","F",1,"2017-8-7"
"Seth","Chital","M",1,"2017-11-8"
"Santos","Cockatiel","F",0,"2018-6-4"
"Haley","Yellow-bellied glider","M",0,"2017-12-6"
"Elna","Dromedary camel","F",0,"2017-9-26"
"Seamus","Red","F",1,"2017-9-9"
"Maxime","Long-tailed chinchilla","U",0,"2017-10-14"
"Cornelius","Giant East African snail","M",1,"2017-10-24"
"Dasia","Java sparrow","U",0,"2018-1-13"
"Emiliano","Yak","F",1,"2018-6-15"
"Brandyn","Nubian giraffe","M",1,"2017-8-28"
"Domenic","Ferret","F",0,"2018-4-12"
"Gretchen","Barbary sheep","M",1,"2017-12-9"
"Sedrick","Zebu","U",1,"2017-12-28"
"Edmund","European mouflon","M",1,"2018-5-22"
"Rosalyn","Red deer","U",1,"2017-12-2"
"Eusebio","Yellow-crested & Citron-crested cockatoos","M",0,"2018-2-20"
"Madonna","Kalij","M",0,"2018-3-26"
"Vicky","Yellow-bellied glider","U",0,"2017-9-15"
"Caleb","Norway lemming","F",0,"2018-6-20"
"Graciela","Red-legged","U",0,"2018-1-22"
"Enrique","Horned screamer","U",1,"2017-10-13"
"Justina","Bali cattle","U",1,"2018-1-9"
"Audrey","Edible-nest swiftlet","U",1,"2017-10-24"
"Clotilde","Syrian wild ass","F",0,"2017-7-29"
"Bonnie","White-necked","M",1,"2018-6-13"
"Easton","Eclectus parrot","U",0,"2017-10-9"
"Carli","Domestic guinea pig","F",0,"2018-2-15"
"Nicola","Spotted hyena","M",0,"2018-7-18"
"Dee","Common fruit fly","U",1,"2017-10-14"
"Clair","Golden pheasant","M",1,"2018-3-1"
"Agustin","European eel","F",1,"2017-11-9"
"Skylar","Fisher","M",0,"2018-6-16"
"Maude","Wild boar","U",1,"2018-1-21"
"Cecelia","Meerkat","F",0,"2017-9-5"
"Elyssa","Chinese","U",1,"2018-3-19"
"Cordia","Mud crab","U",1,"2018-4-1"
"Robbie","European bass","U",1,"2017-8-30"
"Jazmin","Ruddy mongoose","F",1,"2017-9-1"
"Leslie","Small-billed tinamou","M",0,"2017-11-29"
"Betty","Cobia","M",1,"2018-2-1"
"Kristina","Nubian giraffe","F",0,"2018-5-20"
"Karlee","Smooth-coated otter","F",0,"2018-1-24"
"Deangelo","Domestic pigeon","F",1,"2018-3-6"
"Cory","Flathead grey mullet","F",1,"2018-7-27"
"Pansy","Domestic guinea pig","M",1,"2017-10-5"
"Orrin","Domestic pig","U",0,"2017-9-24"
"Rodrick","Llama","U",1,"2017-12-22"
"Vaughn","European goldfinch","F",0,"2017-11-23"
"Kitty","Edible-nest swiftlet","U",1,"2017-11-17"
"Queen","Gayal","F",1,"2018-1-23"
"Naomie","American","F",1,"2017-12-9"
"Etha","American","F",1,"2018-5-27"
"Delphia","Mountain quail","F",0,"2018-2-4"
"Devon","Barbary dove","F",0,"2018-2-4"
"Abel","Sugar glider","M",1,"2017-9-8"
"Osborne","Greater rhea","F",1,"2018-1-15"
"Olin","Emu","F",1,"2018-5-2"
"Blaze","Common degu","F",0,"2018-3-30"
"Chyna","Steppe lemming","U",0,"2018-3-14"
"Joyce","Zebra finch","M",1,"2017-9-12"
"Hertha","Atlantic horseshoe crab","M",0,"2017-12-15"
"Raphael","Giant eland ","F",0,"2017-8-24"
"Bette","Egyptian goose","M",0,"2017-8-3"
"Lenny","Arabian ostrich","U",1,"2018-7-27"
"Talon","Indian gray mongoose","U",0,"2018-1-17"
"Sabryna","Domestic mink","U",1,"2017-12-28"
"Alicia","Northern bobwhite","U",1,"2017-12-26"
"Josefina","Nilgai","M",1,"2017-12-3"
"Cheyenne","Vicuña","M",1,"2018-4-19"
"Mustafa","Coypu","U",0,"2018-5-7"
"Emanuel","Mongolian gerbil","M",0,"2018-3-15"
"Maddison","Companion parrot","M",0,"2018-7-18"
"Flavio","Harlequin","U",1,"2018-3-6"
"Aniyah","Nubian giraffe","M",1,"2017-8-26"
"Myriam","Kalij","M",0,"2018-3-31"
"Laron","Rainbowfish","M",1,"2017-11-25"
"Hiram","Common periwinkle","M",0,"2018-2-11"
"Bennie","Pale and lesser gerbils","M",1,"2018-5-30"
"Laney","Chinese","M",0,"2018-7-12"
"Roel","European bass","U",1,"2017-9-3"
"Cornelius","Gambian pouched rat","F",0,"2017-11-10"
"Zack","Siberian weasel","M",1,"2017-12-18"
"Zella","Kalij","M",1,"2018-5-5"
"Jaylan","Major Mitchell's cockatoo","M",0,"2018-3-20"
"Franco","Red-winged tinamou","F",1,"2018-3-26"
"D'angelo","Zebu","F",1,"2017-11-2"
"Domenico","Crucian carp","U",0,"2018-5-25"
"Tod","Australian green tree frog","U",0,"2018-5-6"
"Maverick","Cattle","M",1,"2018-6-19"
"Timmothy","Red-legged","M",0,"2018-1-23"
"Maudie","Chinese","F",1,"2018-1-15"
"Alexane","Pig frog","U",1,"2017-9-19"
"Mozell","Malayan porcupine","F",0,"2018-5-23"
"Kurtis","Fancy mouse and laboratory mouse","M",1,"2018-7-13"
"Christop","Common degu","M",0,"2017-8-20"
"Rey","Stingless bees","F",1,"2017-11-30"
"Frederik","Harlequin","U",0,"2017-12-22"
"Garnett","Greater kudu","U",0,"2017-9-27"
"Gail","Lowland","M",1,"2018-5-2"
"Macey","Domestic guinea pig","F",1,"2018-2-12"
"Audra","South African ostrich","U",1,"2017-8-7"
"Kari","Eastern bearded dragon","M",0,"2018-1-21"
"Emerald","Lesser bamboo rat","M",0,"2018-3-4"
"Harry","Indian gray mongoose","F",1,"2017-10-27"
"Vernon","Chinese hamster","M",1,"2017-10-19"
"Hunter","Western honey bee","U",1,"2018-6-18"
"Janelle","Capybara","U",0,"2018-6-25"
"Mathew","Arctic","F",1,"2018-2-19"
"Laverne","Greater rhea","M",1,"2018-4-25"
"Elna","Domestic turkey","F",0,"2017-10-31"
"Wade","Wild boar","U",1,"2017-9-2"
"Lupe","Long-tailed chinchilla","U",0,"2018-3-10"
"Alessandro","Ring-tailed cat","F",1,"2018-7-21"
"Orville","Common periwinkle","M",1,"2018-3-13"
"Odie","Dorcas gazelle","U",1,"2017-11-5"
"Elta","Northern bobwhite","M",0,"2018-4-8"
"Tamara","Coypu","M",0,"2018-4-19"
"Earline","Gambian pouched rat","U",0,"2018-1-23"
"Rodrigo","Scaly-breasted munia","M",0,"2017-8-7"
"Antone","Pin-tailed parrotfinch","M",1,"2018-3-4"
"Zakary","Domesticated red fox","U",0,"2018-1-15"
"Lew","Lowland","F",0,"2018-6-18"
"Laury","Kalij","F",0,"2018-6-15"
"Eleanora","Chinese spiny frog","F",1,"2017-12-2"
"Joany","Chinese","M",0,"2017-9-23"
"Julius","Domesticated red fox","F",1,"2018-7-3"
"Hailie","Rose-ringed parakeet","F",0,"2018-2-12"
"Hilton","Harris's hawk","M",0,"2018-4-15"
"Angelo","African giant snail","U",1,"2017-12-30"
"Elise","Society finch","U",1,"2018-3-9"
"Monroe","Edible-nest swiftlet","U",0,"2018-4-11"
"Alison","Yellow-crested & Citron-crested cockatoos","U",1,"2018-5-27"
"Jerry","Springbok","U",1,"2018-6-7"
"Kamron","Mandarin duck","F",0,"2018-4-20"
"Dwight","Palm cockatoo","M",1,"2018-5-14"
"Juvenal","Bald eagle","M",0,"2017-11-6"
"Jakob","Japanese horseshoe crab","M",1,"2017-8-28"
"Wiley","Goldfish","M",1,"2018-4-12"
"Lonny","Turquoise parrot","M",0,"2017-12-1"
"Ruby","Egyptian goose","M",1,"2017-9-12"
"Myrna","South American","M",1,"2018-4-19"
"Amber","Stoat","F",1,"2017-8-3"
"Valerie","Cochineal","U",0,"2017-9-10"
"Jarrett","Sea-monkey","U",1,"2018-4-26"
"Noble","Mud crab","U",0,"2018-2-10"
"Fidel","Striped hyena","U",1,"2018-6-11"
"Etha","Japanese and great cormorants","U",0,"2018-5-18"
"Micah","Guanaco","F",0,"2018-4-20"
"Terrence","Mountain quail","M",1,"2018-5-13"
"Eleanora","Golden hamster","F",0,"2017-9-14"
"Cleveland","Northern goshawk","U",1,"2018-7-3"
"Sven","Argentine and Cranwell's horned frogs","U",0,"2018-5-24"
"Maybell","Greater cane rat","M",1,"2017-11-16"
"Victoria","Sea-monkey","M",1,"2018-1-16"
"Koby","Cattle","F",1,"2017-8-21"
"Tabitha","Gemsbok","M",0,"2017-8-18"
"Gerson","Scaled","F",0,"2017-12-13"
"Yoshiko","Bigfin reef squid","F",1,"2018-7-13"
"Bonnie","Muskox","U",1,"2018-2-28"
"Carmen","Common fruit fly","U",0,"2018-4-4"
"Maye","Dromedary camel","F",0,"2018-6-9"
"Amparo","Species and subspecies","U",1,"2017-8-10"
"Timothy","Red-eared, yellow-bellied, and Cumberland sliders ","U",1,"2018-2-18"
"Rafaela","South American","M",0,"2018-7-5"
"Mona","Southern","F",0,"2018-4-19"
"Robb","Bat-eared fox","U",0,"2017-10-30"
"Nat","Indian elephant","M",1,"2018-6-19"
"Stephanie","Thorold's deer","M",0,"2017-9-21"
"Stanton","Bald eagle","U",1,"2018-4-9"
"Josephine","Atlantic horseshoe crab","U",0,"2018-5-12"
"Werner","Australian green tree frog","M",1,"2018-1-19"
"Virgie","Chinese spiny frog","F",1,"2018-6-16"
"Providenci","Red-necked wallaby","M",1,"2017-10-19"
"Roselyn","Rose-ringed parakeet","F",0,"2017-12-14"
"Virginia","Asiatic honey bee","F",1,"2018-5-16"
"Nedra","European bass","M",1,"2017-12-16"
"Jamil","Budgerigar","U",1,"2017-9-16"
"Tavares","Sugar glider","F",1,"2017-8-24"
"Lucienne","Caracal","M",1,"2017-11-28"
"Ulices","Springbok","F",0,"2017-9-9"
"Madie","Green and black poison dart frog","M",1,"2018-2-21"
"Luther","Chinese softshell turtle","F",0,"2018-2-16"
"Garrison","Common","U",0,"2018-3-11"
"Willy","Malayan porcupine","M",0,"2017-7-29"
"Vivianne","Scaled","F",0,"2017-12-4"
"Penelope","Japanese and great cormorants","M",1,"2017-12-29"
"Adolf","Piranha","F",1,"2018-1-25"
"Skylar","King quail","U",0,"2018-6-30"
"Merritt","Common periwinkle","F",1,"2018-4-10"
"River","Japanese and great cormorants","M",0,"2017-8-19"
"Fern","Chicken","F",0,"2017-12-17"
"Candace","Black soldier fly","F",0,"2017-8-5"
"Malvina","Stoat","F",1,"2018-1-14"
"Marie","Cattle","M",0,"2018-2-14"
"Harrison","Argentine and Cranwell's horned frogs","M",1,"2018-3-8"
"Pete","Ring-tailed cat","F",1,"2017-9-13"
"Ronny","Mandarin duck","U",1,"2017-7-28"
"Jamaal","Bigfin reef squid","U",1,"2017-11-30"
"Lillie","Tawny owl","M",0,"2018-7-1"
"Cassandra","Fisher","M",1,"2018-5-27"
"Jensen","Common vole","F",1,"2017-9-6"
"Abdullah","Axolotl","M",1,"2017-11-4"
"Glenna","Greater","M",1,"2018-7-11"
"Lesley","Sugar glider","M",1,"2017-10-20"
"Verdie","Somali ostrich","F",1,"2017-10-4"
"Gerhard","Golden eagle","M",0,"2018-4-20"
"Jeff","Beech marten","M",0,"2018-4-16"
"Abbie","Dyeing dart frog","M",0,"2017-12-3"
"Candace","Australian green tree frog","U",0,"2018-7-14"
"Vanessa","Island","M",0,"2018-5-15"
"Juston","Green chromide","U",1,"2018-1-31"
"Kaitlyn","Grey partridge","M",0,"2017-12-21"
"Heidi","American bison","U",1,"2017-11-15"
"Josefa","Malayan porcupine","M",0,"2017-11-12"
"Thora","Tiger quoll","M",1,"2018-2-27"
"Mckenzie","Common carp","U",0,"2018-2-26"
"Brian","Sheep","M",1,"2018-2-28"
"Troy","Semi-domesticated reindeer","U",1,"2017-8-25"
"Kennedy","Ring-tailed cat","M",1,"2017-12-11"
"Mikayla","Island","U",0,"2018-7-2"
"Leora","Serval","U",1,"2018-7-1"
"Caterina","Chinkara","U",0,"2017-9-25"
"Ellen","Gemsbok","U",0,"2018-5-2"
"Shirley","Dromedary camel","F",0,"2018-1-19"
"Jocelyn","Mongolian gerbil","F",0,"2017-9-25"
"Tobin","African bush elephant","M",0,"2018-6-21"
"Anna","Southern","F",1,"2017-12-3"
"Millie","Vulturine guineafowl","U",0,"2017-9-21"
"Unique","Wood bison","U",1,"2018-6-10"
"Cullen","Red flour beetle","F",0,"2018-5-2"
"Emelie","Small-billed tinamou","F",1,"2018-7-26"
"Joel","Water buffalo, including ""river buffalo""","U",1,"2018-3-27"
"Cecilia","Bald eagle","M",1,"2018-4-12"
"Maeve","Southern","F",0,"2018-7-19"
"Karina","Water buffalo, including ""river buffalo""","M",0,"2018-7-9"
"Emil","Beech marten","M",0,"2018-5-14"
"Baby","Moose","M",0,"2018-5-29"
"Iliana","Buff-tailed bumblebee","M",1,"2018-4-14"
"Abdul","Domestic pigeon","F",0,"2018-1-3"
"Kacey","Thorold's deer","U",1,"2018-3-15"
"Lilian","Chinkara","M",1,"2017-8-26"
"Javier","Mute swan","F",1,"2017-9-7"
"Jared","Central bearded dragon","U",0,"2018-4-24"
"Angelica","Dromedary camel","F",0,"2018-1-27"
"Tyrique","Cobia","F",0,"2017-11-29"
"Joanne","Northern goshawk","U",1,"2017-11-25"
"Greyson","Greater cane rat","M",1,"2018-2-18"
"Susie","Mongolian gerbil","M",1,"2018-1-9"
"Frederik","Common","F",1,"2018-3-1"
"Jesus","Goat","M",1,"2018-4-12"
"Shakira","Emu","U",1,"2017-9-24"
"Destinee","Black rhinoceros","F",0,"2018-4-6"
"Kenyon","Arabian ostrich","M",1,"2018-5-20"
"Destiney","Vulturine guineafowl","U",1,"2018-5-8"
"Abagail","Steppe lemming","U",0,"2017-11-4"
"Vivienne","Buff-tailed bumblebee","F",0,"2017-9-12"
"Fiona","Green tree python","U",0,"2018-3-31"
"Iva","African bush elephant","F",0,"2017-12-12"
"Billy","Sika deer","M",0,"2018-3-4"
"Mohammed","Crab-eating frog","F",0,"2018-4-24"
"Yesenia","Malayan porcupine","M",0,"2017-8-16"
"Ottis","Domestic turkey","F",1,"2017-9-9"
"Emmitt","Northern red snapper","M",0,"2017-8-29"
"Maryse","Fancy rat and laboratory rat","F",0,"2017-11-10"
"Berneice","White cockatoo","F",0,"2017-10-9"
"Enos","African bush elephant","M",1,"2018-3-17"
"Lisa","Gayal","F",1,"2017-11-14"
"Mark","Southern","F",0,"2017-10-3"
"Melvin","Cattle","M",0,"2018-7-1"
"Derick","Common octopus","M",1,"2018-1-19"
"Kraig","Indian palm squirrel","M",1,"2018-7-18"
"Gwendolyn","American","U",1,"2018-3-12"
"Marietta","Atlantic Salmon","U",0,"2018-1-22"
"Darien","Red-eared, yellow-bellied, and Cumberland sliders ","U",1,"2017-8-11"
"Burnice","Domestic pigeon","F",1,"2018-2-15"
"Prince","North African","U",0,"2018-3-27"
"Preston","Meerkat","U",1,"2017-12-25"
"Myrtice","Syrian wild ass","M",0,"2017-8-27"
"Quinton","Carpet python","U",0,"2018-2-12"
"Ali","Domestic hedgehog","F",1,"2017-8-12"
"Nat","Beech marten","F",0,"2018-7-8"
"Savannah","Goat","U",1,"2018-2-22"
"Abdiel","Norway lemming","M",1,"2017-11-28"
"Gavin","Steppe lemming","F",1,"2017-10-25"
"Eliezer","Gayal","U",1,"2017-11-5"
"Sandy","Mountain quail","F",0,"2017-11-17"
"Nayeli","Chinese","F",1,"2018-2-19"
"Brannon","Domestic guineafowl","F",1,"2018-2-13"
"Calista","Mangrove horseshoe crab","M",1,"2017-10-10"
"Edyth","Mealworm and Superworm","U",0,"2017-8-31"
"Cleora","Sugarbag bee","F",1,"2017-11-10"
"Jason","Central bearded dragon","U",0,"2018-4-28"
"Kristy","Ball python","U",0,"2017-10-22"
"Dena","Bigfin reef squid","M",0,"2017-11-20"
"Zechariah","Coypu","M",0,"2018-5-31"
"Pinkie","Bald eagle","U",1,"2018-6-15"
"Nicola","North African","M",1,"2017-12-30"
"Patrick","Scaled","F",1,"2017-11-27"
"Enid","Green iguana","U",0,"2018-7-9"
"Keira","Common vole","F",0,"2017-10-26"
"Sedrick","Lesser bamboo rat","M",0,"2018-2-25"
"Lucienne","Lawson's dragon","U",1,"2018-4-12"
"Amaya","Egyptian goose","U",0,"2017-8-1"
"Bianka","Green tree python","U",0,"2017-8-14"
"Tressie","Common","M",0,"2017-10-19"
"Roma","Red deer","M",0,"2018-7-3"
"Brendan","Rainbow trout","U",1,"2018-6-3"
"Verna","American bison","F",1,"2018-3-10"
"Madalyn","Tiger quoll","F",0,"2018-2-12"
"Angelita","Yellow-bellied glider","M",0,"2017-9-28"
"Vernon","Vicuña","M",0,"2018-5-6"
"Bud","Lesser bamboo rat","U",0,"2017-8-15"
"Randy","Yellow-bellied glider","U",1,"2017-8-16"
"Derick","Fishing","F",1,"2017-12-20"
"Laury","Spotted hyena","U",0,"2017-12-29"
"Quinten","Chinese cobra","U",1,"2017-12-10"
"Zechariah","Japanese horseshoe crab","F",0,"2017-10-26"
"Marty","Common","U",0,"2017-12-22"
"Kyle","Domestic silkmoth","M",1,"2018-7-22"
"Fred","Lowland","M",0,"2018-4-6"
"Syble","Fishing","U",1,"2018-3-19"
"Lenna","Dingo","M",1,"2018-7-6"
"Jaylen","Caracal","F",0,"2018-4-23"
"Savion","Wattle-necked softshell turtle","F",0,"2018-1-15"
"Tillman","North African","U",1,"2017-10-14"
"Aurelie","African bush elephant","F",0,"2018-2-2"
"Anya","Green tree python","U",0,"2018-5-12"
"Arthur","Eastern bearded dragon","F",0,"2017-9-23"
"Berry","Arabian oryx","U",1,"2017-8-6"
"Alessia","Egyptian mongoose","U",0,"2018-6-24"
"Ivah","Northern goshawk","F",1,"2018-7-8"
"Joanne","Chinese spiny frog","F",0,"2017-9-23"
"Ricky","Dubia roach","M",1,"2017-9-11"
"Shane","Crab-eating frog","U",0,"2018-1-31"
"Dorothy","Arabian ostrich","F",1,"2018-5-12"
"Berenice","European","U",0,"2018-3-23"
"Vicky","Whooper swan","F",1,"2017-8-30"
"Lawson","Goldfish","F",1,"2018-6-22"
"Kaitlin","Nile","M",0,"2017-12-21"
"Abdiel","Domestic silkmoth","F",0,"2018-7-16"
"Allene","Siamese fighting fish","M",1,"2018-5-22"
"Jovani","Sika deer","M",0,"2018-2-3"
"Mortimer","Horse","F",0,"2018-7-13"
"Alvina","Elk","F",0,"2018-5-18"
"Camron","Crab-eating frog","M",0,"2018-6-4"
"Marjory","Stoat","U",1,"2018-7-3"
"Pedro","Axolotl","F",0,"2017-8-8"
"Marianna","Crimson finch","F",1,"2017-8-25"
"Arlie","Greater","U",1,"2018-1-2"
"Megane","Greater","F",0,"2018-5-8"
"Tianna","European bass","F",1,"2017-8-22"
"Neoma","Serval","M",1,"2018-3-15"
"Madelynn","Gouldian finch","F",0,"2017-8-6"
"Linnea","Salmon-crested cockatoo","F",0,"2018-7-21"
"Antonetta","European mouflon","U",0,"2018-7-20"
"Floyd","Palm cockatoo","F",0,"2018-1-23"
"Marcelino","Gayal","M",0,"2017-9-3"
"Bryon","Yellowtail snapper","U",0,"2017-7-29"
"Hector","Mongolian gerbil","M",1,"2018-7-28"
"Cassandre","Sea-monkey","U",0,"2018-3-7"
"Carolyn","Thorold's deer","F",0,"2017-12-29"
"Unique","Guanaco","F",1,"2018-6-20"
"Faye","Dorcas gazelle","U",0,"2018-1-1"
"Coby","Egyptian goose","F",0,"2018-3-10"
"Elmo","Ball python","U",1,"2017-8-23"
"Linda","Rainbow trout","U",1,"2017-9-18"
"Mozell","Ruddy mongoose","F",1,"2018-3-19"
"Floyd","Companion parrot","U",1,"2018-6-10"
"Theresia","Wood duck","M",0,"2018-2-9"
"Cicero","Smooth-coated otter","U",0,"2017-8-12"
"Aidan","Piranha","U",0,"2017-11-17"
"Gilberto","Pin-tailed parrotfinch","M",0,"2018-6-23"
"Scottie","Leopard cat","U",0,"2017-9-30"
"Gussie","Black-legged seriema","F",0,"2017-9-23"
"Heloise","Domestic duck","M",1,"2017-10-20"
"Adolf","Yellow-crested & Citron-crested cockatoos","M",1,"2017-10-3"
"Ben","Domestic guineafowl","F",1,"2017-11-18"
"Angelica","Fringe-eared oryx","M",0,"2017-8-26"
"Gilberto","Fancy mouse and laboratory mouse","U",0,"2017-11-4"
"Hailey","Alpaca","U",1,"2017-8-29"
"Dusty","Argentine and Cranwell's horned frogs","F",0,"2018-7-13"
"Terrell","Stoat","F",0,"2018-7-13"
"Jacynthe","Common fruit fly","F",1,"2017-8-24"
"Vida","Eclectus parrot","U",0,"2017-10-29"
"Nicolette","Raccoon exotic","M",1,"2017-10-26"
"Maurice","Egyptian mongoose","U",1,"2017-10-9"
"Deshawn","Rainbow trout","F",1,"2018-4-21"
"Kory","Red-necked wallaby","U",1,"2017-10-6"
"Davin","Greater rhea","U",0,"2018-3-11"
"Bobbie","Himalayan monal","M",0,"2018-5-27"
"Zola","Arctic","U",1,"2018-3-3"
"Eli","Asiatic honey bee","M",1,"2018-3-16"
"Maximillian","Golden hamster","M",1,"2018-7-2"
"Mitchell","Budgerigar","M",1,"2018-1-22"
"Aurore","Leopard gecko","F",0,"2017-10-9"
"Liana","Domestic Bactrian camel","U",0,"2017-12-2"
"Leone","Common vole","M",1,"2017-7-29"
"Albertha","Crimson finch","M",0,"2017-9-20"
"Bessie","Kalij","M",1,"2018-5-6"
