"name","breed","sex","shots","declawed","neutered","birthdate"
"Rafael","American Shorthair","M",1,1,1,"2017-12-21"
"Jayme","Karelian Bobtail","M",1,1,0,"2018-4-12"
"Robin","Sokoke","U",1,0,1,"2017-12-17"
"Kennedi","Aegean","U",0,1,0,"2017-8-14"
"Minerva","Lykoi","F",1,1,1,"2017-8-16"
"Gust","Siamese ","F",0,1,1,"2017-12-30"
"Rhiannon","Himalayan","M",0,1,1,"2018-1-12"
"Felton","Savannah","U",0,1,0,"2018-4-3"
"Dylan","LaPerm","F",1,1,0,"2017-11-27"
"Matilda","Cornish Rex","F",1,0,0,"2017-11-30"
"Raleigh","Somali","M",0,1,0,"2017-8-24"
"Arthur","Oriental Bicolor","F",1,0,0,"2018-7-4"
"Orin","Aphrodite Giant","M",1,0,0,"2017-11-4"
"Maurine","American Shorthair","F",0,1,0,"2018-4-16"
"Cornelius","York Chocolate","U",0,1,0,"2018-3-11"
"Jon","British Shorthair","F",0,1,1,"2018-1-10"
"Alexis","Chausie","F",1,1,1,"2017-11-10"
"Carlos","Japanese Bobtail","U",1,1,1,"2017-9-14"
"Aurelie","German Rex","U",1,0,1,"2017-12-21"
"Colten","Sokoke","F",1,1,1,"2017-10-29"
"Bettie","Havana Brown","M",1,0,1,"2017-9-16"
"Nola","Scottish Fold","F",1,1,1,"2017-9-14"
"Omer","Chausie","M",0,0,1,"2018-2-28"
"Wade","Cyprus","U",0,1,0,"2017-8-6"
"Jaren","Siberian","M",0,1,1,"2018-6-23"
"Kaylah","Aphrodite Giant","F",1,1,1,"2018-2-10"
"Yasmine","Kurilian Bobtail","F",0,1,0,"2018-5-12"
"Ressie","Oriental Bicolor","M",0,1,1,"2018-2-19"
"Bernhard","Asian","F",0,1,1,"2018-1-24"
"Shania","Bambino","M",0,0,1,"2017-8-12"
"Percy","Thai Lilac","M",1,1,1,"2017-11-23"
"Kara","Birman","M",0,0,0,"2018-6-8"
"Jovan","American Bobtail","U",0,0,0,"2018-6-30"
"Idell","Russian White","F",0,1,0,"2017-8-14"
"Jasen","European Shorthair","F",1,1,0,"2017-8-1"
"Gabriel","Brazilian Shorthair","U",0,1,1,"2017-10-7"
"Jeromy","Havana Brown","M",1,1,0,"2017-9-11"
"Donna","Munchkin","F",0,1,0,"2017-12-8"
"Samara","Persian (traditional)","F",0,0,0,"2017-9-16"
"Dale","Aegean","F",1,1,1,"2018-7-25"
"Ena","Chartreux","F",1,1,0,"2018-4-6"
"Gaetano","Ocicat","U",1,1,1,"2017-8-4"
"Eliza","Thai","F",1,0,0,"2018-4-26"
"Greg","Snowshoe","M",1,1,0,"2018-4-10"
"Rhoda","Munchkin","M",1,0,0,"2017-9-30"
"Hortense","Toyger","M",1,1,0,"2018-3-9"
"Aracely","Scottish Fold","F",1,0,1,"2017-9-27"
"Bridgette","Tonkinese","F",0,1,1,"2018-2-14"
"Bernita","Siamese ","U",1,0,0,"2017-11-2"
"Justina","Thai","M",1,0,0,"2017-11-20"
"Kory","Norwegian Forest cat","U",0,0,1,"2018-6-11"
"Mckenzie","Korat","U",0,1,1,"2017-8-28"
"Maribel","Ojos Azules","M",1,1,1,"2018-3-15"
"Curt","Brazilian Shorthair","F",1,0,1,"2018-7-25"
"Valentin","British Semi-longhair","F",1,1,1,"2017-8-17"
"Jennyfer","Burmese","F",0,1,1,"2017-8-11"
"Wilford","Ojos Azules","U",0,1,0,"2018-7-23"
"Rossie","Munchkin","M",0,0,0,"2018-4-30"
"Hillary","Suphalak","F",1,0,1,"2018-1-28"
"Kyleigh","Karelian Bobtail","F",0,0,1,"2018-3-31"
"Rosendo","Korat","F",0,1,1,"2018-5-24"
"Buster","Kurilian Bobtail","F",0,1,1,"2018-2-20"
"Ellsworth","Brazilian Shorthair","F",1,1,1,"2018-5-21"
"Jarret","Cymric","F",0,0,0,"2018-4-29"
"Felicia","Karelian Bobtail","U",0,1,1,"2017-9-15"
"Ardella","Khao Manee","F",1,1,1,"2017-7-31"
"Santino","Serrade petit","U",1,0,1,"2018-3-24"
"Talon","Sphynx","M",1,0,1,"2018-6-18"
"Ephraim","Ocicat","U",0,0,1,"2018-2-21"
"Alfonso","Thai","U",1,1,1,"2018-6-3"
"Isac","Minskin","F",0,0,0,"2018-2-21"
"Rubye","Foldex[5]","M",0,0,0,"2017-8-24"
"Neal","Burmilla","U",1,0,1,"2017-11-14"
"Daniella","British Semi-longhair","U",0,1,1,"2017-12-16"
"Israel","Bombay","M",1,1,0,"2018-4-30"
"Alanis","Somali","U",0,0,1,"2018-7-4"
"Karlee","Ragamuffin","F",1,0,1,"2017-11-16"
"Nakia","Devon Rex","M",1,0,1,"2017-9-21"
"Earl","Munchkin","U",1,0,0,"2018-6-9"
"Vivianne","British Shorthair","M",0,1,1,"2017-12-11"
"Kaycee","Arabian Mau","F",0,0,1,"2017-11-22"
"Cletus","Peterbald","F",1,0,0,"2018-5-25"
"Sheldon","York Chocolate","U",0,1,0,"2018-3-18"
"Jett","Ragdoll","F",1,0,1,"2017-10-8"
"Ulices","Russian Blue","F",1,1,1,"2017-9-3"
"Viva","American Shorthair","F",0,1,0,"2017-12-31"
"Jaquelin","Oriental Shorthair","U",1,0,1,"2017-10-3"
"Cathy","Minskin","U",1,0,0,"2018-3-31"
"Lazaro","Pixie-bob","U",0,0,1,"2017-12-1"
"Vena","Cornish Rex","M",1,0,0,"2017-12-14"
"Colten","Ocicat","U",1,1,0,"2017-10-2"
"Aniya","Dwelf","M",1,1,1,"2017-10-30"
"Katlynn","Himalayan","U",1,1,1,"2018-4-1"
"Lamar","Toyger","U",0,1,1,"2018-3-15"
"Melvin","Japanese Bobtail","U",1,0,0,"2017-12-28"
"Emil","Turkish Van","F",0,1,0,"2017-8-11"
"Gene","American Bobtail","M",1,1,0,"2017-8-23"
"Elza","European Shorthair","M",1,1,0,"2018-5-10"
"Kelley","Ocicat","M",0,1,0,"2017-11-17"
"Bertram","British Shorthair","U",1,0,1,"2018-4-4"
"Ola","Birman","F",0,1,0,"2017-8-30"
"Peyton","Maine Coon","M",1,1,0,"2018-4-1"
"D'angelo","European Shorthair","U",1,1,0,"2017-10-10"
"Maribel","Oregon Rex","U",1,0,1,"2017-11-15"
"Ora","Kurilian Bobtail","F",0,1,0,"2017-11-19"
"Bernita","Devon Rex","U",1,1,0,"2017-12-23"
"Lee","Peterbald","U",1,0,1,"2017-11-14"
"Donny","Ojos Azules","F",0,0,0,"2017-9-14"
"Chelsie","Brazilian Shorthair","M",1,1,1,"2018-1-3"
"Cletus","Pixie-bob","F",0,0,0,"2018-4-23"
"Sophie","European Shorthair","F",0,0,1,"2018-1-6"
"Waino","Australian Mist","F",0,1,1,"2017-11-12"
"Shad","British Shorthair","M",1,1,1,"2017-8-8"
"Sonia","Thai","U",0,1,0,"2018-4-14"
"Viva","Korat","F",1,1,1,"2017-8-25"
"Favian","Burmese","U",1,0,1,"2018-4-13"
"Dudley","Mekong Bobtail","F",0,1,1,"2018-2-4"
"Hertha","Donskoy","M",0,0,0,"2017-10-19"
"Noel","Somali","F",1,1,1,"2018-3-20"
"Jamie","Singapura","M",0,1,1,"2018-2-26"
"Britney","Korean Bobtail","F",0,1,0,"2017-12-15"
"Fred","Ragamuffin","U",0,1,1,"2017-12-5"
"Jennyfer","Korat","F",0,0,1,"2018-3-19"
"Ivory","Karelian Bobtail","U",1,1,1,"2018-4-3"
"Kiarra","Persian (traditional)","F",1,0,0,"2018-4-22"
"Chloe","Tonkinese","F",1,1,0,"2017-11-16"
"Filomena","Serrade petit","M",0,1,0,"2017-11-19"
"Annabel","Norwegian Forest cat","F",1,0,1,"2017-11-10"
"Modesto","American Curl","M",1,0,0,"2018-4-26"
"Cora","Turkish Angora","U",0,1,1,"2018-2-17"
"Lexi","Egyptian Mau","F",1,0,0,"2018-4-2"
"Zula","Highlander","U",0,1,0,"2017-11-18"
"Vicky","Mekong Bobtail","F",0,1,0,"2017-11-28"
"Alexandre","Napoleon","F",0,1,0,"2017-12-28"
"Jayson","Savannah","F",0,0,1,"2018-7-6"
"Greyson","Persian (traditional)","U",1,1,0,"2018-7-18"
"Leo","Siamese ","U",1,1,0,"2018-7-25"
"Cecile","California Spangled","U",1,1,1,"2017-11-23"
"Brando","Devon Rex","M",1,0,1,"2018-7-14"
"Kamille","Egyptian Mau","F",0,0,1,"2017-9-19"
"Obie","Bombay","F",1,0,1,"2018-1-8"
"Ubaldo","Cheetoh","F",0,1,1,"2017-12-6"
"Samir","Aphrodite Giant","F",1,1,0,"2017-7-29"
"Caitlyn","Singapura","U",1,0,1,"2018-4-15"
"Caleigh","Oriental Shorthair","U",0,1,1,"2018-4-22"
"Mellie","Cyprus","U",0,1,0,"2017-10-23"
"Kathryn","Serrade petit","M",1,1,0,"2018-5-7"
"Trystan","Burmese","U",0,1,0,"2018-6-13"
"Trey","Aegean","U",1,1,0,"2018-5-26"
"Yadira","Arabian Mau","M",1,0,0,"2018-2-12"
"Lance","Asian","M",1,0,1,"2018-6-15"
"Bella","European Shorthair","U",0,1,0,"2017-12-22"
"Pasquale","Turkish Angora","M",0,0,0,"2018-1-4"
"Sidney","Khao Manee","F",1,1,1,"2017-11-22"
"Loyce","Arabian Mau","U",0,0,1,"2018-7-19"
"Cristopher","Burmese","F",0,0,0,"2017-11-10"
"Polly","Himalayan","M",1,0,0,"2017-8-29"
"Kasandra","Brazilian Shorthair","F",0,0,0,"2017-8-5"
"Geovany","Savannah","M",1,0,1,"2017-12-11"
"Chelsey","American Curl","M",1,1,1,"2018-5-18"
"Bernard","Brazilian Shorthair","F",0,0,1,"2017-8-27"
"Fay","Serrade petit","M",0,1,0,"2018-3-12"
"Wilfrid","Serengeti","M",1,1,0,"2018-1-26"
"Jan","Bengal","F",1,0,0,"2018-6-15"
"Camren","Dwelf","M",1,0,1,"2017-9-19"
"Pearl","Sokoke","U",0,0,0,"2018-4-20"
"Herminio","Manx","M",0,0,1,"2017-12-21"
"Foster","Russian White","M",1,0,0,"2018-6-15"
"Ceasar","Manx","M",0,1,0,"2018-6-3"
"Andres","Kurilian Bobtail","U",1,1,0,"2018-1-12"
"Raven","Korean Bobtail","F",1,1,0,"2017-12-25"
"Jeremy","Savannah","F",0,0,0,"2018-6-16"
"Shania","Ragdoll","U",1,0,1,"2018-2-20"
"Kurt","Persian (modern)","M",1,1,1,"2017-10-24"
"Christ","Norwegian Forest cat","F",1,0,1,"2018-4-24"
"Rhoda","British Longhair","F",1,0,1,"2018-4-5"
"Cassandre","Cyprus","U",1,1,1,"2017-10-17"
"Jennie","British Longhair","F",0,1,0,"2017-12-31"
"Rhett","Ocicat","F",0,0,0,"2018-5-18"
"Americo","Javanese","M",1,1,0,"2017-10-17"
"Loyal","Bambino","U",0,0,1,"2017-11-22"
"Brannon","Oriental Shorthair","F",0,1,1,"2017-11-16"
"Omer","British Longhair","U",1,1,1,"2018-3-30"
"Nyah","Thai Lilac","U",1,1,0,"2018-3-13"
"Hilbert","Somali","F",1,1,1,"2018-4-19"
"Maud","Oriental Shorthair","M",0,0,1,"2018-6-3"
"Alysson","Manx","F",0,0,1,"2017-11-26"
"Emelia","Nebelung","M",0,1,1,"2018-5-26"
"Douglas","Japanese Bobtail","F",0,1,0,"2017-10-17"
"Gregory","Devon Rex","F",0,1,0,"2017-7-31"
"Christina","Khao Manee","F",1,1,0,"2017-9-10"
"Marlene","Australian Mist","U",0,0,0,"2018-6-21"
"Lincoln","Nebelung","F",1,0,1,"2018-3-3"
"Delphia","Brazilian Shorthair","F",1,1,0,"2017-9-6"
"Aurelia","Sokoke","F",1,1,1,"2018-5-18"
"Jaeden","Chausie","M",1,1,1,"2017-8-28"
"Isabel","Devon Rex","F",0,0,1,"2018-1-14"
"Baby","British Longhair","F",0,0,0,"2017-11-16"
"Ernestine","Aegean","M",0,0,1,"2017-8-17"
"Maryse","Toyger","F",1,1,1,"2018-5-6"
"Otilia","Kurilian Bobtail","M",1,0,0,"2018-3-26"
"Braeden","Manx","U",1,1,0,"2017-8-7"
"Damian","Maine Coon","U",0,1,1,"2018-2-7"
"Freeda","Serengeti","U",1,0,0,"2017-12-2"
"Daron","Japanese Bobtail","F",0,1,0,"2018-4-4"
"Brook","Ukrainian Levkoy","F",1,0,0,"2017-12-17"
"Hildegard","Peterbald","M",1,1,1,"2017-10-17"
"Willard","Ocicat","U",0,0,0,"2018-1-4"
"Jaleel","Havana Brown","M",1,1,0,"2018-7-10"
"Humberto","Korean Bobtail","F",0,1,0,"2017-8-9"
"Kevon","Sokoke","F",0,0,0,"2017-11-25"
"Elroy","Suphalak","M",1,1,1,"2017-12-9"
"Gordon","Aphrodite Giant","U",0,0,1,"2018-3-12"
"Retha","Karelian Bobtail","M",1,0,1,"2018-3-7"
"Kathlyn","Scottish Fold","F",1,0,1,"2018-4-12"
"Finn","Cornish Rex","M",0,1,1,"2017-8-9"
"Gudrun","Karelian Bobtail","U",1,0,0,"2018-7-11"
"Pink","Siberian","M",0,1,0,"2018-1-5"
"America","Siberian","U",1,0,1,"2018-7-21"
"Dominique","California Spangled","F",1,0,0,"2017-12-18"
"Rowan","Snowshoe","F",0,1,0,"2017-8-27"
"Waylon","American Shorthair","F",0,0,0,"2018-7-8"
"Nathanial","British Semi-longhair","F",0,1,1,"2017-10-31"
"Flossie","Turkish Angora","F",1,1,1,"2018-4-26"
"Maiya","Ocicat","F",0,1,0,"2017-10-17"
"Berneice","Arabian Mau","U",1,0,0,"2017-10-25"
"Hilario","Oriental Longhair","M",0,1,0,"2017-9-4"
"Caroline","Bengal","F",1,1,0,"2018-3-9"
"Hilario","Burmese","U",1,1,0,"2018-5-21"
"Dario","Birman","M",1,0,0,"2017-12-19"
"Wyatt","Korean Bobtail","U",1,0,0,"2017-10-28"
"Deron","Asian Semi-longhair","U",0,0,1,"2018-7-4"
"Devin","Devon Rex","U",1,0,0,"2018-1-19"
"Marty","Norwegian Forest cat","F",1,0,1,"2017-8-28"
"Willy","Scottish Fold","M",1,1,1,"2017-11-27"
"Lea","Savannah","M",1,1,1,"2018-1-19"
"Arne","Cornish Rex","M",0,1,1,"2018-6-19"
"Dominic","Balinese","F",0,0,0,"2018-2-19"
"Camron","Singapura","F",1,1,1,"2017-11-4"
"Maegan","Foldex[5]","M",0,0,0,"2017-11-16"
"Pauline","Snowshoe","U",0,0,1,"2018-6-26"
"Providenci","Serengeti","F",0,0,0,"2018-7-2"
"George","Dragon Li","U",0,0,0,"2017-9-23"
"Katelin","Siamese ","F",0,1,0,"2018-3-8"
"Retta","Korat","F",0,1,1,"2018-1-13"
"Isidro","Cheetoh","F",1,1,1,"2017-12-17"
"Angel","Norwegian Forest cat","F",0,1,1,"2017-11-21"
"Charlene","Ragdoll","F",0,1,0,"2018-7-21"
"Jovanny","Cheetoh","M",0,0,0,"2018-3-10"
"Seamus","Russian Blue","M",1,1,1,"2017-11-22"
"Aurore","Mekong Bobtail","U",0,0,0,"2017-9-26"
"Kayla","Tonkinese","M",0,0,1,"2017-12-16"
"Daryl","Arabian Mau","M",1,1,1,"2018-5-20"
"Hubert","Donskoy","M",0,1,0,"2018-1-8"
"Winona","Egyptian Mau","U",0,0,0,"2018-5-20"
"Ana","Ragamuffin","U",1,1,0,"2018-6-18"
"Jarret","Chartreux","F",1,1,0,"2017-11-28"
"Mertie","Mekong Bobtail","F",0,1,0,"2018-7-13"
"Tevin","Toyger","U",0,0,0,"2018-5-20"
"Carmen","Sam Sawet","F",0,0,0,"2018-6-20"
"Rene","Oriental Bicolor","U",0,0,1,"2017-11-12"
"Arlene","Ocicat","M",0,0,0,"2018-4-22"
"Vella","York Chocolate","F",1,0,1,"2018-6-30"
"Urban","Cymric","U",1,1,0,"2018-1-17"
"Tessie","Brazilian Shorthair","M",0,0,0,"2017-9-9"
"Lon","Raas","M",1,0,0,"2017-9-11"
"Hazle","Norwegian Forest cat","U",0,1,1,"2018-1-25"
"Dale","British Semi-longhair","U",1,0,1,"2018-5-9"
"Glenda","Selkirk Rex","U",0,1,1,"2018-7-6"
"Gideon","California Spangled","F",1,1,0,"2018-5-8"
"Bridie","Donskoy","U",0,1,1,"2018-3-17"
"Ofelia","Chausie","F",0,0,0,"2017-10-25"
"Melany","Selkirk Rex","F",0,1,0,"2018-5-10"
"D'angelo","Ukrainian Levkoy","M",1,1,1,"2018-1-3"
"Sam","Chantilly-Tiffany","U",0,0,1,"2017-9-18"
"Jessie","Kurilian Bobtail","M",0,1,0,"2018-4-6"
"Elmira","Siberian","F",1,1,0,"2017-11-5"
"Zelda","American Bobtail","F",0,0,1,"2018-4-17"
"Jaunita","American Curl","U",0,1,0,"2017-11-2"
"Aurelia","Burmese","F",0,0,1,"2018-6-16"
"Yazmin","Korean Bobtail","M",0,1,0,"2017-8-7"
"Virgil","LaPerm","M",1,1,0,"2018-3-16"
"Virginia","Manx","U",0,1,0,"2017-10-23"
"Noemy","Chantilly-Tiffany","F",1,0,0,"2017-8-25"
"Boris","York Chocolate","U",1,1,0,"2018-5-14"
"Orval","Bombay","F",1,0,0,"2017-11-20"
"Aida","Egyptian Mau","U",0,0,0,"2017-8-11"
"Jacynthe","Toyger","U",0,0,1,"2018-5-16"
"Camille","British Shorthair","F",1,0,0,"2018-4-5"
"Jackeline","Munchkin","F",1,1,0,"2018-3-13"
"Amiya","LaPerm","M",0,1,0,"2018-4-30"
"Karina","Chausie","F",0,1,0,"2017-9-20"
"Geovanny","Scottish Fold","U",1,1,0,"2018-7-3"
"Jazmyn","Arabian Mau","U",0,1,1,"2018-3-14"
"Florida","Munchkin","M",0,0,0,"2018-1-24"
"Katelyn","Burmese","M",0,1,0,"2017-12-24"
"Shanon","Raas","M",1,0,0,"2018-7-21"
"Rahul","Lykoi","F",1,1,1,"2017-9-1"
"Daron","Serrade petit","F",1,0,1,"2018-3-1"
"Trenton","Siamese ","F",0,0,1,"2018-1-26"
"Marcia","Himalayan","M",1,0,1,"2017-8-19"
"Rodrigo","Oriental Shorthair","U",0,1,0,"2018-7-23"
"Jaren","Sokoke","M",0,1,0,"2018-4-12"
"Hazle","Suphalak","F",1,0,0,"2018-4-29"
"Christopher","Nebelung","M",0,0,1,"2018-5-7"
"Amber","Lykoi","M",1,0,0,"2018-7-3"
"Grover","Korat","M",1,1,0,"2018-3-31"
"Nathanael","American Curl","M",0,0,0,"2017-12-21"
"Earlene","Persian (traditional)","F",0,0,0,"2018-4-27"
"Jo","European Shorthair","U",1,1,1,"2018-5-27"
"Cathrine","Asian","U",1,0,1,"2018-5-12"
"Myron","Cymric","M",0,1,0,"2017-8-14"
"Katlyn","Chausie","U",1,1,0,"2017-7-29"
"Arnoldo","Somali","M",0,0,0,"2018-3-30"
"Cynthia","California Spangled","U",1,0,1,"2018-1-9"
"Kaitlin","American Curl","M",1,0,1,"2018-2-2"
"Jalon","Siberian","F",0,1,0,"2017-10-9"
"Ryder","Mekong Bobtail","M",1,0,1,"2017-9-20"
"Benny","Cornish Rex","F",1,0,0,"2017-8-20"
"Jeffry","Lykoi","M",0,1,0,"2017-8-12"
"Bridie","Balinese","F",0,0,1,"2018-4-7"
"Paula","Manx","M",1,0,1,"2017-10-5"
"Melvina","European Shorthair","U",1,0,1,"2017-9-19"
"Judge","Ukrainian Levkoy","U",1,1,0,"2018-4-26"
"Krystel","Australian Mist","F",0,0,1,"2018-2-28"
"Karianne","Abyssinian","F",0,1,0,"2018-5-14"
"Kayli","Ragamuffin","F",0,0,0,"2018-4-17"
"Eldon","Bambino","U",1,0,1,"2017-8-24"
"Ricardo","Turkish Angora","U",0,1,1,"2017-10-3"
"Lauryn","Napoleon","M",0,1,0,"2017-10-31"
"Milan","Abyssinian","U",1,1,1,"2018-6-15"
"Stephania","Dwelf","F",1,0,1,"2017-10-11"
"Werner","Devon Rex","M",1,0,0,"2017-9-8"
"Annetta","American Wirehair","M",1,0,1,"2017-8-1"
"Lorenzo","Pixie-bob","U",1,1,0,"2018-7-14"
"Jody","British Shorthair","M",0,0,1,"2018-7-13"
"Adeline","Bombay","M",0,0,1,"2017-8-13"
"Olin","Siberian","U",0,1,0,"2018-1-27"
"Esperanza","German Rex","F",0,1,1,"2017-9-19"
"Alexzander","Ragamuffin","U",0,1,0,"2018-6-26"
"Melody","Highlander","M",1,0,1,"2017-9-29"
"Kiel","Aphrodite Giant","M",1,0,0,"2017-12-9"
"Tito","Maine Coon","U",1,0,0,"2018-4-5"
"Ignacio","Bambino","F",0,1,0,"2018-2-16"
"Meagan","Cornish Rex","F",0,1,1,"2017-9-11"
"Esta","British Shorthair","U",1,1,1,"2018-7-12"
"Kyler","Abyssinian","F",0,1,1,"2017-8-9"
"Ernesto","LaPerm","F",0,0,0,"2018-3-3"
"Jayce","Raas","M",0,0,0,"2018-6-29"
"Major","Ocicat","M",1,0,0,"2018-1-19"
"Lora","Chausie","U",1,1,0,"2018-6-30"
"Clifton","Himalayan","F",0,1,0,"2018-7-19"
"Gudrun","Scottish Fold","U",0,1,1,"2018-5-21"
"Andy","Chantilly-Tiffany","F",1,1,0,"2017-12-29"
"Jan","Munchkin","U",0,1,0,"2018-1-21"
"Felix","Highlander","M",0,0,1,"2018-3-22"
"Sienna","American Bobtail","F",0,1,0,"2018-5-30"
"Izabella","Cheetoh","M",0,1,0,"2018-2-18"
"Rosie","Havana Brown","U",0,1,0,"2018-7-1"
"Verla","Dwelf","F",0,1,1,"2017-9-20"
"Ronny","Siberian","U",1,0,1,"2017-8-26"
"Maximus","Ragdoll","M",0,1,1,"2018-7-21"
"Destin","Turkish Angora","F",0,0,1,"2017-12-6"
"Connie","Suphalak","M",1,1,1,"2017-11-8"
"Hillary","Cheetoh","M",1,1,0,"2018-6-4"
"Delmer","Ragamuffin","U",0,1,1,"2018-1-31"
"Krista","Russian Blue","M",1,0,0,"2018-6-20"
"Kevin","Siberian","M",0,0,0,"2017-10-19"
"Kaylie","Persian (traditional)","U",0,0,0,"2018-1-31"
"Cara","Khao Manee","M",1,1,1,"2017-8-13"
"Sanford","Bombay","M",1,0,1,"2018-4-30"
"Ryder","Turkish Van","F",0,1,1,"2018-4-2"
"Cheyanne","Cyprus","F",0,0,1,"2018-5-13"
"Khalil","Abyssinian","M",0,0,0,"2018-7-21"
"Macey","York Chocolate","U",1,0,0,"2017-12-14"
"Virgil","European Shorthair","U",1,1,1,"2017-12-20"
"Tanner","Munchkin","M",1,1,0,"2017-11-25"
"Pasquale","Burmese","F",1,0,1,"2018-3-29"
"Francisca","Ojos Azules","F",1,0,0,"2017-11-12"
"Alek","Lykoi","M",1,0,0,"2018-5-12"
"Hazel","Toyger","U",0,1,0,"2018-2-6"
"Novella","Birman","M",0,0,1,"2017-8-9"
"Margaret","Ragdoll","U",0,1,0,"2017-8-22"
"Estella","European Shorthair","M",0,1,0,"2018-3-12"
"Darion","Devon Rex","U",0,0,0,"2018-4-2"
"Wendy","Persian (traditional)","U",1,1,0,"2018-5-6"
"Fernando","Chartreux","M",0,1,1,"2018-1-23"
"Cheyanne","Abyssinian","F",1,1,0,"2018-4-1"
"Dayna","Tonkinese","F",1,0,1,"2018-5-18"
"Ceasar","Balinese","F",0,1,0,"2018-5-2"
"Howell","Nebelung","F",1,1,0,"2017-8-25"
"Laisha","Serrade petit","M",0,1,1,"2018-3-13"
"Felicita","Highlander","U",0,1,0,"2018-6-6"
"Caroline","Oregon Rex","U",1,0,0,"2018-1-17"
"Sabryna","British Semi-longhair","M",0,1,1,"2017-7-31"
"Jody","European Shorthair","M",1,1,1,"2018-2-18"
"Delilah","Tonkinese","U",1,1,1,"2017-8-8"
"Herman","Oregon Rex","U",0,1,0,"2017-9-9"
"Brant","Tonkinese","U",0,0,0,"2018-5-30"
"Greg","Oriental Bicolor","M",0,0,0,"2017-11-23"
"Rachelle","American Shorthair","F",0,1,0,"2017-8-14"
"John","Aphrodite Giant","M",0,1,1,"2018-3-19"
"Elmore","Siberian","M",0,0,1,"2018-4-1"
"Connor","Japanese Bobtail","M",0,0,0,"2017-12-31"
"Bella","Kurilian Bobtail","U",0,1,0,"2017-9-1"
"Trisha","Australian Mist","U",1,1,1,"2018-3-4"
"Rebecca","California Spangled","M",1,0,1,"2018-2-22"
"Shawna","Chantilly-Tiffany","F",1,1,1,"2018-7-15"
"Maybell","York Chocolate","F",0,1,0,"2018-1-31"
"Jedidiah","Turkish Van","F",0,1,0,"2017-8-29"
"Roxane","Tonkinese","F",1,0,0,"2017-10-7"
"Clement","Javanese","U",1,0,1,"2018-4-26"
"Oscar","Dragon Li","F",0,1,1,"2018-1-13"
"Armani","Raas","U",1,1,0,"2018-2-24"
"Simeon","Mekong Bobtail","U",1,0,1,"2017-11-22"
"Coralie","Burmese","F",0,1,0,"2017-12-30"
"Virgie","Karelian Bobtail","U",1,1,0,"2017-7-29"
"Walker","American Wirehair","M",1,1,1,"2017-10-27"
"Jessyca","California Spangled","M",1,1,0,"2018-7-6"
"Sabina","Foldex[5]","U",0,1,0,"2017-11-16"
"Nicolette","Siberian","U",0,0,1,"2017-8-30"
"Ivah","Korean Bobtail","U",0,0,1,"2017-9-14"
"Amara","Turkish Van","U",1,1,1,"2017-8-17"
"Kareem","Tonkinese","M",0,1,1,"2017-10-31"
"Shemar","Chausie","F",0,1,0,"2017-9-11"
"Jazmin","Chausie","F",1,0,1,"2017-10-1"
"Merle","Chantilly-Tiffany","M",0,1,1,"2018-2-10"
"Bo","Burmilla","M",0,1,1,"2018-3-12"
"Geovanni","German Rex","F",0,0,1,"2018-6-29"
"Chelsea","Himalayan","M",0,1,0,"2018-2-1"
"Alexie","Raas","M",1,1,0,"2018-6-5"
"Carmella","Lykoi","F",0,0,0,"2017-11-29"
"Arno","Siamese ","F",0,1,0,"2017-11-3"
"Hulda","Oriental Shorthair","F",1,1,0,"2018-4-24"
"Rodger","Chantilly-Tiffany","M",1,1,0,"2018-7-28"
"Lesly","Turkish Van","M",0,0,0,"2017-9-9"
"Alaina","Turkish Van","M",1,1,0,"2018-4-21"
"Carlotta","Maine Coon","M",0,0,0,"2018-3-30"
"Wilford","Aegean","F",0,1,1,"2017-9-29"
"Adelbert","Javanese","F",1,1,1,"2017-10-16"
"Reyna","Egyptian Mau","F",0,0,0,"2017-9-11"
"Jamar","Havana Brown","F",1,1,0,"2017-8-18"
"Joshuah","Cyprus","F",1,1,0,"2017-9-26"
"Zane","Egyptian Mau","U",0,1,0,"2017-11-17"
"Karley","Singapura","F",0,1,1,"2017-8-21"
"Monty","Colorpoint Shorthair","F",1,1,0,"2017-10-16"
"Gwendolyn","Khao Manee","M",0,0,0,"2017-12-25"
"Jaquan","Bengal","U",0,1,0,"2017-12-12"
"Lizzie","British Semi-longhair","U",0,1,1,"2018-7-3"
"Riley","Aphrodite Giant","U",0,0,1,"2018-1-22"
"Clint","Russian White","M",1,1,0,"2017-9-8"
"Brad","Oriental Longhair","U",1,1,1,"2018-2-5"
"Stephany","Ojos Azules","M",0,0,1,"2018-4-11"
"Carlie","Turkish Angora","U",0,0,1,"2018-4-29"
"Hassie","British Shorthair","F",1,1,0,"2017-10-21"
"Oran","Thai Lilac","F",1,1,0,"2018-3-12"
"Arno","Turkish Angora","F",0,0,0,"2018-3-3"
"Hailie","Bengal","U",0,1,1,"2018-7-17"
"Damion","Ojos Azules","M",1,1,0,"2018-3-1"
"Madilyn","British Shorthair","U",0,0,0,"2017-8-18"
"Rossie","Balinese","F",1,1,1,"2018-2-4"
"Lisa","Turkish Angora","U",1,0,0,"2018-6-28"
"Loyal","Asian","M",1,1,1,"2018-3-1"
"Marcel","Birman","U",1,1,0,"2017-8-22"
"Maximilian","Ojos Azules","F",1,0,1,"2018-6-20"
"Leora","Ojos Azules","M",0,0,1,"2018-5-31"
"Kyra","British Semi-longhair","M",0,0,0,"2018-3-9"
